Cell_ID,I,J,X,Y
169,137,8,417554.69,4091407.75
170,138,8,417819.44,4092007.75
171,139,8,418099.44,4092680
172,140,8,418402.12,4093427.5
173,141,8,418731.84,4094255
174,142,8,419090.91,4095165
175,143,8,419479.69,4096155.25
176,144,8,419896.62,4097227.5
177,145,8,420339.16,4098377.25
178,146,8,420802.12,4099592.25
179,147,8,421278.62,4100862.5
180,148,8,421760.41,4102162.5
181,149,8,422233.09,4103655
182,150,8,422629.81,4105227.25
183,151,8,422954.88,4106884.75
184,152,8,423084.09,4108703.75
185,153,8,422976.69,4110468.5
186,101,9,361613.12,4076337.5
187,108,9,384125.31,4078138.25
188,109,9,385387.84,4077912.75
189,110,9,387057.81,4077580.25
190,111,9,389242.75,4077385.25
191,112,9,392005.25,4076840.25
192,123,9,410896.53,4086205
193,124,9,411390.97,4086667.5
194,125,9,411873.12,4087110
195,126,9,412354.25,4087512.75
196,127,9,412837.72,4087902.75
197,128,9,413310.44,4088280.25
198,129,9,413769.19,4088650.5
199,130,9,414205.72,4089014.75
200,131,9,414622.47,4089375
201,132,9,415010.47,4089732.75
202,133,9,415364.88,4090095
203,134,9,415685.56,4090485
204,135,9,415966.44,4090903
205,136,9,416239.97,4091355.25
206,137,9,416532.69,4091865
207,138,9,416802.47,4092432.75
208,139,9,417070.16,4093085
209,140,9,417377.09,4093835
210,141,9,417709.59,4094639.75
211,142,9,418068.91,4095547.25
212,143,9,418461.41,4096555.25
213,144,9,418877.16,4097622.75
214,145,9,419308.38,4098757.75
215,146,9,419758.38,4099957.5
216,147,9,420220.38,4101227.25
217,148,9,420693.09,4102512.25
218,149,9,421158.38,4103905
219,150,9,421542.44,4105392.75
220,151,9,421867.31,4106967.25
221,152,9,421964.31,4108523.5
222,153,9,421911.91,4109936.25
223,101,10,363230.59,4078862.75
224,108,10,383045.31,4079358
225,123,10,409436,4087182.5
226,124,10,409968.72,4087620.25
227,125,10,410489.91,4088040
228,126,10,411010.19,4088417.25
229,127,10,411532.91,4088780.25
230,128,10,412045.19,4089130.5
231,129,10,412542.62,4089470
232,130,10,413015.56,4089805
233,131,10,413465.75,4090137.5
234,132,10,413882.41,4090467.75
235,133,10,414260.59,4090800
236,134,10,414601.12,4091162.5
237,135,10,414898.41,4091552.25
238,136,10,415185.88,4091979.75
239,137,10,415491,4092467.25
240,138,10,415771.81,4093012.5
241,139,10,416049.19,4093642.5
242,140,10,416364.41,4094370
243,141,10,416703.62,4095157.75
244,142,10,417067.91,4096050.25
245,143,10,417463.62,4097042.25
246,144,10,417880.84,4098097.5
247,145,10,418310.84,4099220.25
248,146,10,418756.28,4100410
249,147,10,419209,4101672.25
250,148,10,419664.56,4102947.5
251,149,10,420112.12,4104257.25
252,150,10,420525.91,4105667.25
253,151,10,420807.25,4107104.75
254,152,10,420862.38,4108379.75
255,101,11,364828.16,4080810
256,104,11,375882.91,4077430.5
257,105,11,378067.88,4078168
258,106,11,379695.44,4079303
259,107,11,381002.97,4080018
260,108,11,381997.84,4080490.25
261,119,11,405576.31,4086077.75
262,120,11,406224.75,4086698
263,121,11,406848.09,4087255
264,122,11,407450.84,4087765
265,123,11,408036.81,4088230
266,124,11,408609.19,4088655
267,125,11,409171.44,4089050
268,126,11,409725.25,4089415
269,127,11,410271.44,4089760
270,128,11,410809.53,4090087.75
271,129,11,411335.12,4090395
272,130,11,411841.28,4090695.25
273,131,11,412318.53,4090995.25
274,132,11,412757.38,4091300.5
275,133,11,413153.41,4091620.25
276,134,11,413509.16,4091960
277,135,11,413833.12,4092330.25
