129  7 10     128 11183 20323 27925 34277 39438 43616 46897 49432 51240
130  7 10     129 11184 20324 27926 34278 39439 43617 46898 49433 51241
131  7 11     130 11185 20325 27927 34279 39440 43618 46899 49434 51242 52572
132  7 11     131 11186 20326 27928 34280 39441 43619 46900 49435 51243 52573
133  7 11     132 11187 20327 27929 34281 39442 43620 46901 49436 51244 52574
134  7  7     133 11188 20328 27930 34282 39443 43621
135  7  7     134 11189 20329 27931 34283 39444 43622
136  7  5     135 11190 20330 27932 34284
137  7  5     136 11191 20331 27933 34285
138  7  5     137 11192 20332 27934 34286
139  7  5     138 11193 20333 27935 34287
140  7  5     139 11194 20334 27936 34288
141  7  5     140 11195 20335 27937 34289
142  7  5     141 11196 20336 27938 34290
143  7  6     142 11197 20337 27939 34291 39445
144  7  8     143 11198 20338 27940 34292 39446 43623 46902
145  7  6     144 11199 20339 27941 34293 39447
146  7  4     145 11200 20340 27942
147  7  4     146 11201 20341 27943
148  7  3     147 11202 20342
149  7  3     148 11203 20343
150  7  2     149 11204
151  7  2     150 11205
152  7  1     151
153  7  1     152
108  8  5     153 11206 20344 27944 34294
122  8  4     154 11207 20345 27945
123  8  4     155 11208 20346 27946
124  8  4     156 11209 20347 27947
125  8  8     157 11210 20348 27948 34295 39448 43624 46903
126  8  7     158 11211 20349 27949 34296 39449 43625
127  8  7     159 11212 20350 27950 34297 39450 43626
128  8  7     160 11213 20351 27951 34298 39451 43627
129  8 10     161 11214 20352 27952 34299 39452 43628 46904 49437 51245
130  8 10     162 11215 20353 27953 34300 39453 43629 46905 49438 51246
131  8 11     163 11216 20354 27954 34301 39454 43630 46906 49439 51247 52575
132  8 11     164 11217 20355 27955 34302 39455 43631 46907 49440 51248 52576
133  8 11     165 11218 20356 27956 34303 39456 43632 46908 49441 51249 52577
134  8  7     166 11219 20357 27957 34304 39457 43633
135  8  7     167 11220 20358 27958 34305 39458 43634
136  8  5     168 11221 20359 27959 34306
137  8  5     169 11222 20360 27960 34307
138  8  5     170 11223 20361 27961 34308
139  8  5     171 11224 20362 27962 34309
140  8  5     172 11225 20363 27963 34310
141  8  5     173 11226 20364 27964 34311
142  8  5     174 11227 20365 27965 34312
143  8  4     175 11228 20366 27966
144  8  8     176 11229 20367 27967 34313 39459 43635 46909
145  8  4     177 11230 20368 27968
146  8  4     178 11231 20369 27969
147  8  3     179 11232 20370
148  8  3     180 11233 20371
149  8  3     181 11234 20372
150  8  2     182 11235
151  8  2     183 11236
152  8  1     184
153  8  1     185
101  9  1     186
108  9  5     187 11237 20373 27970 34314
109  9  2     188 11238
110  9  2     189 11239
111  9  1     190
112  9  1     191
123  9  4     192 11240 20374 27971
124  9  5     193 11241 20375 27972 34315
125  9  8     194 11242 20376 27973 34316 39460 43636 46910
126  9  8     195 11243 20377 27974 34317 39461 43637 46911
127  9  8     196 11244 20378 27975 34318 39462 43638 46912
128  9  8     197 11245 20379 27976 34319 39463 43639 46913
129  9  8     198 11246 20380 27977 34320 39464 43640 46914
130  9 10     199 11247 20381 27978 34321 39465 43641 46915 49442 51250
131  9 11     200 11248 20382 27979 34322 39466 43642 46916 49443 51251 52578
132  9 11     201 11249 20383 27980 34323 39467 43643 46917 49444 51252 52579
133  9 11     202 11250 20384 27981 34324 39468 43644 46918 49445 51253 52580
134  9  7     203 11251 20385 27982 34325 39469 43645
135  9  4     204 11252 20386 27983
136  9  4     205 11253 20387 27984
137  9  5     206 11254 20388 27985 34326
138  9  5     207 11255 20389 27986 34327
139  9  5     208 11256 20390 27987 34328
140  9  5     209 11257 20391 27988 34329
141  9  4     210 11258 20392 27989
142  9  4     211 11259 20393 27990
143  9  4     212 11260 20394 27991
144  9  8     213 11261 20395 27992 34330 39470 43646 46919
145  9  3     214 11262 20396
146  9  3     215 11263 20397
147  9  3     216 11264 20398
148  9  3     217 11265 20399
149  9  2     218 11266
